region,age,da_number,pop_rpdb,cv_1dose_Jul_3,cv_1dose_Aug_7,cv_1dose_Oct_23,cv_1dose_Aug_28,cv_1dose_Nov_13,n_vacc_1dose_Jul_3,n_vacc_1dose_Aug_7,n_vacc_1dose_Oct_23,n_vacc_1dose_Aug_28,n_vacc_1dose_Nov_13
qc,total,13407,7448493,79.5133324284523,82.2588945173205,87.5992096656331,,,5922545,6127048,6524821,,
qc,12_17,,565510,62.882353981362,67.5876642322859,77.7947339569592,,,355606,382215,439937,,
qc,18_29,,1188905,67.3613955698731,72.0689205613569,81.7666676479618,,,800863,856831,972128,,
qc,30_39,,1139855,68.378521829531,72.335516359537,80.368643380079,,,779416,824520,916086,,
qc,40_49,,1117506,77.5248634011808,80.5756747614778,86.1433406174106,,,866345,900438,962657,,
qc,50_59,,1093538,85.0199078587118,87.2863128670426,91.0039705981868,,,929725,954509,995163,,
qc,60_,,2343179,93.4879494908413,94.2537894031997,95.5475445964649,,,2190590,2208535,2238850,,
on,total,17372,13039268,76.1072937529929,,,81.5790272889552,86.4025802675426,9923834,,,10637308,11266264
on,12_17,,980166,62.5371620725469,,,76.2313730531359,84.8751129910648,612968,,,747194,831917
on,18_29,,2311994,71.538723716411,,,79.8915135592912,87.9770016704196,1653971,,,1847087,2034023
on,30_39,,2099736,67.7430400774193,,,74.2184731794854,80.9810852411922,1422425,,,1558392,1700389
on,40_49,,1879004,74.8819055201586,,,80.0463437012375,85.0656518027636,1407034,,,1504074,1598387
on,50_59,,2017403,81.9168009564772,,,85.9113920223178,89.3249886115962,1652592,,,1733179,1802045
on,60_,,3750965,84.6407257865643,,,86.5745748094157,87.9641105688803,3174844,,,3247382,3299503
