region,age,da_number,pop_rpdb,cv_1dose_Jul_3,cv_1dose_Aug_7,cv_1dose_Oct_23,cv_1dose_Aug_28,cv_1dose_Nov_13,n_vacc_1dose_Jul_3,n_vacc_1dose_Aug_7,n_vacc_1dose_Oct_23,n_vacc_1dose_Aug_28,n_vacc_1dose_Nov_13
mtl,total,6437,3696253,78.9457593947168,82.1634774459432,88.0886400362746,,,2918035,3036970,3255979,,
mtl,12_17,,299847,59.9715855086094,65.1939155636041,76.2732326820012,,,179823,195482,228703,,
mtl,18_29,,639506,69.0664356550212,74.1223694539223,84.1349416580924,,,441684,474017,538048,,
mtl,30_39,,600349,69.4932447626297,73.8811924397309,82.2271711954213,,,417202,443545,493650,,
mtl,40_49,,584213,78.2851459998323,81.8033833550435,87.7801418318319,,,457352,477906,512823,,
mtl,50_59,,543385,85.2202397931485,87.8675340688462,91.899297919523,,,463074,477459,499367,,
mtl,60_,,1028953,93.1918173133272,94.1307328906179,95.5717122162043,,,958900,968561,983388,,
tor,total,7333,5777554,77.3786796280918,,,82.7731597143013,87.2313439216665,4470595,,,4782264,5039838
tor,12_17,,442406,65.2174699258148,,,78.8531349032337,86.5727408760279,288526,,,348851,383003
tor,18_29,,1080806,77.0806231645642,,,84.8396474482932,91.9462882330409,833092,,,916952,993761
tor,30_39,,991693,72.1400675410636,,,78.0847500184029,83.7653386683177,715408,,,774361,830695
tor,40_49,,881175,77.0037733707833,,,81.7267852583199,86.0781343093029,678538,,,720156,758499
tor,50_59,,903509,81.9241424269155,,,85.7090521511131,88.9370222100721,740192,,,774389,803554
tor,60_,,1477965,82.1967367292189,,,84.4103209480603,85.951020491013,1214839,,,1247555,1270326
