"REF_DATE","GEO","DGUID","Census year (2)","Age (in single years), average age and median age (128)","Gender (3a)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Montréal (CMA), Que.","2021S0503462","2021","Total - Age","Total - Gender","","0","units","0","","333.1.1.1","4291735","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","Total - Age","Men+","","0","units","0","","333.1.1.2","2104800","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","Total - Age","Women+","","0","units","0","","333.1.1.3","2186925","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","0 to 14 years","Total - Gender","","0","units","0","","333.1.2.1","721725","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","0 to 14 years","Men+","","0","units","0","","333.1.2.2","369740","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","0 to 14 years","Women+","","0","units","0","","333.1.2.3","351985","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","0 to 4 years","Total - Gender","","0","units","0","","333.1.3.1","218830","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","0 to 4 years","Men+","","0","units","0","","333.1.3.2","112275","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","0 to 4 years","Women+","","0","units","0","","333.1.3.3","106550","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","Under 1 year","Total - Gender","","0","units","0","","333.1.4.1","41090","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","Under 1 year","Men+","","0","units","0","","333.1.4.2","21110","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","Under 1 year","Women+","","0","units","0","","333.1.4.3","19970","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","1","Total - Gender","","0","units","0","","333.1.5.1","43220","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","1","Men+","","0","units","0","","333.1.5.2","22185","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","1","Women+","","0","units","0","","333.1.5.3","21040","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","2","Total - Gender","","0","units","0","","333.1.6.1","43475","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","2","Men+","","0","units","0","","333.1.6.2","22280","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","2","Women+","","0","units","0","","333.1.6.3","21200","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","3","Total - Gender","","0","units","0","","333.1.7.1","44630","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","3","Men+","","0","units","0","","333.1.7.2","22635","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","3","Women+","","0","units","0","","333.1.7.3","21995","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","4","Total - Gender","","0","units","0","","333.1.8.1","46410","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","4","Men+","","0","units","0","","333.1.8.2","24065","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","4","Women+","","0","units","0","","333.1.8.3","22345","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","5 to 9 years","Total - Gender","","0","units","0","","333.1.9.1","248540","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","5 to 9 years","Men+","","0","units","0","","333.1.9.2","127215","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","5 to 9 years","Women+","","0","units","0","","333.1.9.3","121325","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","5","Total - Gender","","0","units","0","","333.1.10.1","48750","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","5","Men+","","0","units","0","","333.1.10.2","24990","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","5","Women+","","0","units","0","","333.1.10.3","23765","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","6","Total - Gender","","0","units","0","","333.1.11.1","48550","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","6","Men+","","0","units","0","","333.1.11.2","24745","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","6","Women+","","0","units","0","","333.1.11.3","23805","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","7","Total - Gender","","0","units","0","","333.1.12.1","50015","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","7","Men+","","0","units","0","","333.1.12.2","25530","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","7","Women+","","0","units","0","","333.1.12.3","24490","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","8","Total - Gender","","0","units","0","","333.1.13.1","50740","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","8","Men+","","0","units","0","","333.1.13.2","26165","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","8","Women+","","0","units","0","","333.1.13.3","24575","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","9","Total - Gender","","0","units","0","","333.1.14.1","50485","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","9","Men+","","0","units","0","","333.1.14.2","25785","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","9","Women+","","0","units","0","","333.1.14.3","24695","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","10 to 14 years","Total - Gender","","0","units","0","","333.1.15.1","254355","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","10 to 14 years","Men+","","0","units","0","","333.1.15.2","130250","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","10 to 14 years","Women+","","0","units","0","","333.1.15.3","124110","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","10","Total - Gender","","0","units","0","","333.1.16.1","50970","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","10","Men+","","0","units","0","","333.1.16.2","26075","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","10","Women+","","0","units","0","","333.1.16.3","24895","","","","0"
