"REF_DATE","GEO","DGUID","Census year (2)","Age (in single years), average age and median age (128)","Gender (3a)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","Total - Age","Total - Gender","","0","units","0","","522.1.1.1","6202225","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","Total - Age","Men+","","0","units","0","","522.1.1.2","3024670","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","Total - Age","Women+","","0","units","0","","522.1.1.3","3177560","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","0 to 14 years","Total - Gender","","0","units","0","","522.1.2.1","965050","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","0 to 14 years","Men+","","0","units","0","","522.1.2.2","495290","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","0 to 14 years","Women+","","0","units","0","","522.1.2.3","469760","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","0 to 4 years","Total - Gender","","0","units","0","","522.1.3.1","289425","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","0 to 4 years","Men+","","0","units","0","","522.1.3.2","148160","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","0 to 4 years","Women+","","0","units","0","","522.1.3.3","141265","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","Under 1 year","Total - Gender","","0","units","0","","522.1.4.1","54670","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","Under 1 year","Men+","","0","units","0","","522.1.4.2","27950","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","Under 1 year","Women+","","0","units","0","","522.1.4.3","26720","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","1","Total - Gender","","0","units","0","","522.1.5.1","56135","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","1","Men+","","0","units","0","","522.1.5.2","28745","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","1","Women+","","0","units","0","","522.1.5.3","27390","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","2","Total - Gender","","0","units","0","","522.1.6.1","57665","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","2","Men+","","0","units","0","","522.1.6.2","29375","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","2","Women+","","0","units","0","","522.1.6.3","28285","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","3","Total - Gender","","0","units","0","","522.1.7.1","59730","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","3","Men+","","0","units","0","","522.1.7.2","30580","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","3","Women+","","0","units","0","","522.1.7.3","29150","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","4","Total - Gender","","0","units","0","","522.1.8.1","61230","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","4","Men+","","0","units","0","","522.1.8.2","31510","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","4","Women+","","0","units","0","","522.1.8.3","29720","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","5 to 9 years","Total - Gender","","0","units","0","","522.1.9.1","325675","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","5 to 9 years","Men+","","0","units","0","","522.1.9.2","167005","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","5 to 9 years","Women+","","0","units","0","","522.1.9.3","158665","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","5","Total - Gender","","0","units","0","","522.1.10.1","62575","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","5","Men+","","0","units","0","","522.1.10.2","31970","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","5","Women+","","0","units","0","","522.1.10.3","30610","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","6","Total - Gender","","0","units","0","","522.1.11.1","63770","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","6","Men+","","0","units","0","","522.1.11.2","32770","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","6","Women+","","0","units","0","","522.1.11.3","31000","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","7","Total - Gender","","0","units","0","","522.1.12.1","64870","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","7","Men+","","0","units","0","","522.1.12.2","33135","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","7","Women+","","0","units","0","","522.1.12.3","31740","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","8","Total - Gender","","0","units","0","","522.1.13.1","67110","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","8","Men+","","0","units","0","","522.1.13.2","34530","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","8","Women+","","0","units","0","","522.1.13.3","32580","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","9","Total - Gender","","0","units","0","","522.1.14.1","67350","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","9","Men+","","0","units","0","","522.1.14.2","34605","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","9","Women+","","0","units","0","","522.1.14.3","32740","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","10 to 14 years","Total - Gender","","0","units","0","","522.1.15.1","349955","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","10 to 14 years","Men+","","0","units","0","","522.1.15.2","180125","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","10 to 14 years","Women+","","0","units","0","","522.1.15.3","169830","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","10","Total - Gender","","0","units","0","","522.1.16.1","67840","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","10","Men+","","0","units","0","","522.1.16.2","34795","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","10","Women+","","0","units","0","","522.1.16.3","33050","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","11","Total - Gender","","0","units","0","","522.1.17.1","68955","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","11","Men+","","0","units","0","","522.1.17.2","35450","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","11","Women+","","0","units","0","","522.1.17.3","33500","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","12","Total - Gender","","0","units","0","","522.1.18.1","70530","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","12","Men+","","0","units","0","","522.1.18.2","36555","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","12","Women+","","0","units","0","","522.1.18.3","33970","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","13","Total - Gender","","0","units","0","","522.1.19.1","71855","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","13","Men+","","0","units","0","","522.1.19.2","36930","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","13","Women+","","0","units","0","","522.1.19.3","34925","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","14","Total - Gender","","0","units","0","","522.1.20.1","70775","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","14","Men+","","0","units","0","","522.1.20.2","36400","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","14","Women+","","0","units","0","","522.1.20.3","34380","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","15 to 64 years","Total - Gender","","0","units","0","","522.1.21.1","4234530","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","15 to 64 years","Men+","","0","units","0","","522.1.21.2","2080315","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","15 to 64 years","Women+","","0","units","0","","522.1.21.3","2154215","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","15 to 19 years","Total - Gender","","0","units","0","","522.1.22.1","357165","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","15 to 19 years","Men+","","0","units","0","","522.1.22.2","184300","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","15 to 19 years","Women+","","0","units","0","","522.1.22.3","172865","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","15","Total - Gender","","0","units","0","","522.1.23.1","70480","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","15","Men+","","0","units","0","","522.1.23.2","36520","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","15","Women+","","0","units","0","","522.1.23.3","33960","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","16","Total - Gender","","0","units","0","","522.1.24.1","71090","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","16","Men+","","0","units","0","","522.1.24.2","36550","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","16","Women+","","0","units","0","","522.1.24.3","34540","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","17","Total - Gender","","0","units","0","","522.1.25.1","71295","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","17","Men+","","0","units","0","","522.1.25.2","36790","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","17","Women+","","0","units","0","","522.1.25.3","34500","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","18","Total - Gender","","0","units","0","","522.1.26.1","70630","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","18","Men+","","0","units","0","","522.1.26.2","36325","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","18","Women+","","0","units","0","","522.1.26.3","34305","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","19","Total - Gender","","0","units","0","","522.1.27.1","73660","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","19","Men+","","0","units","0","","522.1.27.2","38105","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","19","Women+","","0","units","0","","522.1.27.3","35560","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","20 to 24 years","Total - Gender","","0","units","0","","522.1.28.1","418430","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","20 to 24 years","Men+","","0","units","0","","522.1.28.2","217205","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","20 to 24 years","Women+","","0","units","0","","522.1.28.3","201225","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","20","Total - Gender","","0","units","0","","522.1.29.1","79445","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","20","Men+","","0","units","0","","522.1.29.2","41460","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","20","Women+","","0","units","0","","522.1.29.3","37985","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","21","Total - Gender","","0","units","0","","522.1.30.1","82105","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","21","Men+","","0","units","0","","522.1.30.2","42920","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","21","Women+","","0","units","0","","522.1.30.3","39185","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","22","Total - Gender","","0","units","0","","522.1.31.1","81780","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","22","Men+","","0","units","0","","522.1.31.2","42265","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","22","Women+","","0","units","0","","522.1.31.3","39515","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","23","Total - Gender","","0","units","0","","522.1.32.1","86540","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","23","Men+","","0","units","0","","522.1.32.2","44830","","","","0"
"2021","Toronto (CMA), Ont.","2021S0503535","2021","23","Women+","","0","units","0","","522.1.32.3","41710","","","","0"
