"REF_DATE","GEO","DGUID","Census year (2)","Age (in single years), average age and median age (128)","Gender (3a)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Quebec","2021A000224","2021","Total - Age","Total - Gender","","0","units","0","","26.1.1.1","8501835","","","","0"
"2021","Quebec","2021A000224","2021","Total - Age","Men+","","0","units","0","","26.1.1.2","4201960","","","","0"
"2021","Quebec","2021A000224","2021","Total - Age","Women+","","0","units","0","","26.1.1.3","4299875","","","","0"
"2021","Quebec","2021A000224","2021","0 to 14 years","Total - Gender","","0","units","0","","26.1.2.1","1391365","","","","0"
"2021","Quebec","2021A000224","2021","0 to 14 years","Men+","","0","units","0","","26.1.2.2","713290","","","","0"
"2021","Quebec","2021A000224","2021","0 to 14 years","Women+","","0","units","0","","26.1.2.3","678070","","","","0"
"2021","Quebec","2021A000224","2021","0 to 4 years","Total - Gender","","0","units","0","","26.1.3.1","422980","","","","0"
"2021","Quebec","2021A000224","2021","0 to 4 years","Men+","","0","units","0","","26.1.3.2","217140","","","","0"
"2021","Quebec","2021A000224","2021","0 to 4 years","Women+","","0","units","0","","26.1.3.3","205840","","","","0"
"2021","Quebec","2021A000224","2021","Under 1 year","Total - Gender","","0","units","0","","26.1.4.1","79940","","","","0"
"2021","Quebec","2021A000224","2021","Under 1 year","Men+","","0","units","0","","26.1.4.2","41095","","","","0"
"2021","Quebec","2021A000224","2021","Under 1 year","Women+","","0","units","0","","26.1.4.3","38845","","","","0"
"2021","Quebec","2021A000224","2021","1","Total - Gender","","0","units","0","","26.1.5.1","83300","","","","0"
"2021","Quebec","2021A000224","2021","1","Men+","","0","units","0","","26.1.5.2","42840","","","","0"
"2021","Quebec","2021A000224","2021","1","Women+","","0","units","0","","26.1.5.3","40460","","","","0"
"2021","Quebec","2021A000224","2021","2","Total - Gender","","0","units","0","","26.1.6.1","84225","","","","0"
"2021","Quebec","2021A000224","2021","2","Men+","","0","units","0","","26.1.6.2","43165","","","","0"
"2021","Quebec","2021A000224","2021","2","Women+","","0","units","0","","26.1.6.3","41060","","","","0"
"2021","Quebec","2021A000224","2021","3","Total - Gender","","0","units","0","","26.1.7.1","85990","","","","0"
"2021","Quebec","2021A000224","2021","3","Men+","","0","units","0","","26.1.7.2","43960","","","","0"
"2021","Quebec","2021A000224","2021","3","Women+","","0","units","0","","26.1.7.3","42030","","","","0"
"2021","Quebec","2021A000224","2021","4","Total - Gender","","0","units","0","","26.1.8.1","89525","","","","0"
"2021","Quebec","2021A000224","2021","4","Men+","","0","units","0","","26.1.8.2","46080","","","","0"
"2021","Quebec","2021A000224","2021","4","Women+","","0","units","0","","26.1.8.3","43445","","","","0"
"2021","Quebec","2021A000224","2021","5 to 9 years","Total - Gender","","0","units","0","","26.1.9.1","478955","","","","0"
"2021","Quebec","2021A000224","2021","5 to 9 years","Men+","","0","units","0","","26.1.9.2","245295","","","","0"
"2021","Quebec","2021A000224","2021","5 to 9 years","Women+","","0","units","0","","26.1.9.3","233660","","","","0"
"2021","Quebec","2021A000224","2021","5","Total - Gender","","0","units","0","","26.1.10.1","93205","","","","0"
"2021","Quebec","2021A000224","2021","5","Men+","","0","units","0","","26.1.10.2","47915","","","","0"
"2021","Quebec","2021A000224","2021","5","Women+","","0","units","0","","26.1.10.3","45285","","","","0"
"2021","Quebec","2021A000224","2021","6","Total - Gender","","0","units","0","","26.1.11.1","94170","","","","0"
"2021","Quebec","2021A000224","2021","6","Men+","","0","units","0","","26.1.11.2","48000","","","","0"
"2021","Quebec","2021A000224","2021","6","Women+","","0","units","0","","26.1.11.3","46165","","","","0"
"2021","Quebec","2021A000224","2021","7","Total - Gender","","0","units","0","","26.1.12.1","95990","","","","0"
"2021","Quebec","2021A000224","2021","7","Men+","","0","units","0","","26.1.12.2","49025","","","","0"
"2021","Quebec","2021A000224","2021","7","Women+","","0","units","0","","26.1.12.3","46960","","","","0"
"2021","Quebec","2021A000224","2021","8","Total - Gender","","0","units","0","","26.1.13.1","97755","","","","0"
"2021","Quebec","2021A000224","2021","8","Men+","","0","units","0","","26.1.13.2","50410","","","","0"
"2021","Quebec","2021A000224","2021","8","Women+","","0","units","0","","26.1.13.3","47345","","","","0"
"2021","Quebec","2021A000224","2021","9","Total - Gender","","0","units","0","","26.1.14.1","97840","","","","0"
"2021","Quebec","2021A000224","2021","9","Men+","","0","units","0","","26.1.14.2","49940","","","","0"
"2021","Quebec","2021A000224","2021","9","Women+","","0","units","0","","26.1.14.3","47905","","","","0"
"2021","Quebec","2021A000224","2021","10 to 14 years","Total - Gender","","0","units","0","","26.1.15.1","489430","","","","0"
"2021","Quebec","2021A000224","2021","10 to 14 years","Men+","","0","units","0","","26.1.15.2","250855","","","","0"
"2021","Quebec","2021A000224","2021","10 to 14 years","Women+","","0","units","0","","26.1.15.3","238570","","","","0"
"2021","Quebec","2021A000224","2021","10","Total - Gender","","0","units","0","","26.1.16.1","98610","","","","0"
"2021","Quebec","2021A000224","2021","10","Men+","","0","units","0","","26.1.16.2","50570","","","","0"
"2021","Quebec","2021A000224","2021","10","Women+","","0","units","0","","26.1.16.3","48045","","","","0"
"2021","Quebec","2021A000224","2021","11","Total - Gender","","0","units","0","","26.1.17.1","100005","","","","0"
"2021","Quebec","2021A000224","2021","11","Men+","","0","units","0","","26.1.17.2","51220","","","","0"
"2021","Quebec","2021A000224","2021","11","Women+","","0","units","0","","26.1.17.3","48785","","","","0"
