pruid,prename,updated,report_date,numtotal_all_distributed,numtotal_pfizerbiontech_distributed,numtotal_pfizerbiontech_5_11_distributed,numtotal_pfizerbiontech_6mo_5_distributed,numtotal_pfizerbiontech_bivalent_ba4_ba5_distributed,numtotal_pfizerbiontech_5_11_bivalent_ba4_ba5_distributed,numtotal_moderna_distributed,numtotal_moderna_6mo_5_distributed,numtotal_moderna_bivalent_ba1_distributed,numtotal_moderna_bivalent_ba4_ba5_distributed,numtotal_astrazeneca_distributed,numtotal_janssen_distributed,numtotal_novavax_distributed,numtotal_medicago_distributed,as_of_date,numdelta_all_distributed,numdelta_pfizerbiontech_distributed,numdelta_pfizerbiontech_6mo_5_distributed,numdelta_pfizerbiontech_5_11_distributed,numdelta_pfizerbiontech_bivalent_ba4_ba5_distributed,numdelta_pfizerbiontech_5_11_bivalent_ba4_ba5_distributed,numdelta_moderna_distributed,numdelta_moderna_6mo_5_distributed,numdelta_moderna_bivalent_ba1_distributed,numdelta_moderna_bivalent_ba4_ba5_distributed,numdelta_astrazeneca_distributed,numdelta_janssen_distributed,numdelta_novavax_distributed,numdelta_medicago_distributed
1,Canada,1,2021-01-02,424150,255450,0,0,0,0,168700,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
35,Ontario,1,2021-01-02,148350,95550,0,0,0,0,52800,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
59,British Columbia,1,2021-01-02,54625,34125,0,0,0,0,20500,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
48,Alberta,1,2021-01-02,46150,29250,0,0,0,0,16900,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
47,Saskatchewan,1,2021-01-02,13675,8775,0,0,0,0,4900,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
12,Nova Scotia,1,2021-01-02,9550,5850,0,0,0,0,3700,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
46,Manitoba,1,2021-01-02,19975,12675,0,0,0,0,7300,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
13,New Brunswick,1,2021-01-02,8250,5850,0,0,0,0,2400,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
10,Newfoundland and Labrador,1,2021-01-02,6300,3900,0,0,0,0,2400,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
11,Prince Edward Island,1,2021-01-02,5100,3900,0,0,0,0,1200,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
61,Northwest Territories,1,2021-01-02,7200,0,0,0,0,0,7200,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
62,Nunavut,1,2021-01-02,6000,0,0,0,0,0,6000,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
24,Quebec,1,2021-01-02,88075,55575,0,0,0,0,32500,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
60,Yukon,1,2021-01-02,7200,0,0,0,0,0,7200,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
90,Federal allocation,1,2021-01-02,3700,0,0,0,0,0,3700,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
1,Canada,0,2021-01-03,424150,255450,0,0,0,0,168700,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
35,Ontario,0,2021-01-03,148350,95550,0,0,0,0,52800,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
59,British Columbia,0,2021-01-03,54625,34125,0,0,0,0,20500,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
48,Alberta,0,2021-01-03,46150,29250,0,0,0,0,16900,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
47,Saskatchewan,0,2021-01-03,13675,8775,0,0,0,0,4900,0,0,0,0,0,0,0,2020-12-31,,,,,,,,,,,,,,
