"International travellers entering or returning to Canada, by type of transportation and traveller type 1"
"Frequency: Monthly"
"Table: 24-10-0053-01"
"Release date: 2023-02-22"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"January 2018",,,"February 2018",,,"March 2018",,,"April 2018",,,"May 2018",,,"June 2018",,,"July 2018",,,"August 2018",,,"September 2018",,,"October 2018",,,"November 2018",,,"December 2018",,,"January 2019",,,"February 2019",,,"March 2019",,,"April 2019",,,"May 2019",,,"June 2019",,,"July 2019",,,"August 2019",,,"September 2019",,,"October 2019",,,"November 2019",,,"December 2019",,,"January 2020",,,"February 2020",,,"March 2020",,,"April 2020",,,"May 2020",,,"June 2020",,,"July 2020",,,"August 2020",,,"September 2020",,,"October 2020",,,"November 2020",,,"December 2020",,,"January 2021",,,"February 2021",,,"March 2021",,,"April 2021",,,"May 2021",,,"June 2021",,,"July 2021",,,"August 2021",,,"September 2021",,,"October 2021",,,"November 2021",,,"December 2021",,,"January 2022",,,"February 2022",,,"March 2022",,,"April 2022",,,"May 2022",,,"June 2022",,,"July 2022",,,"August 2022",,,"September 2022",,,"October 2022",,,"November 2022",,,"December 2022",,
"Traveller type","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3","Travellers","Excursionists (same-day) 2 3","Tourists (overnight) 2 3"
"Traveller characteristics"
,"Travellers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International travellers entering or returning to Canada","6,588,511","...","...","6,227,230","...","...","8,020,709","...","...","7,595,728","...","...","8,227,580","...","...","8,912,201","...","...","10,453,482","...","...","10,921,354","...","...","8,369,374","...","...","7,375,417","...","...","6,405,234","...","...","6,997,520","...","...","6,460,003","...","...","6,066,966","...","...","7,916,982","...","...","7,701,035","...","...","8,288,864","...","...","8,918,874","...","...","10,652,180","...","...","11,281,509","...","...","8,423,601","...","...","7,427,144","...","...","6,530,956","...","...","7,141,914","...","...","6,603,221","...","...","6,472,411","...","...","4,599,473","...","...","614,019","...","...","678,617","...","...","858,709","...","...","944,343","...","...","1,029,863","...","...","1,010,470","...","...","1,039,232","...","...","961,840","...","...","1,046,105","...","...","1,047,375","...","...","875,292","...","...","1,002,245","...","...","999,014","...","...","1,027,393","...","...","1,096,313","...","...","1,339,476","...","...","2,008,418","...","...","2,026,491","...","...","2,102,016","...","...","2,296,178","...","...","2,966,051","...","...","2,050,193","...","...","2,023,220","...","...","3,313,540","...","...","4,488,535","...","...","5,064,462","...","...","5,550,103","...","...","6,924,477","...","...","7,189,241","...","...","5,922,830","...","...","5,772,987","...","...","5,013,599","...","...","5,363,297","...","..."
"Non-resident visitors entering Canada","1,466,125","580,159","885,966","1,526,261","545,795","980,466","1,861,503","673,648","1,187,855","1,815,466","670,636","1,144,830","2,611,707","837,994","1,773,713","3,793,446","1,087,503","2,705,943","4,515,377","1,305,128","3,210,249","4,357,766","1,268,058","3,089,708","3,101,010","973,235","2,127,775","2,330,091","778,051","1,552,040","1,750,313","677,663","1,072,650","2,145,219","742,561","1,402,658","1,492,214","571,420","920,794","1,494,480","528,979","965,501","1,803,565","674,369","1,129,196","2,071,471","711,862","1,359,609","2,808,944","895,840","1,913,104","3,887,483","1,140,624","2,746,859","4,713,420","1,325,121","3,388,299","4,612,427","1,284,640","3,327,787","3,144,439","942,949","2,201,490","2,422,569","781,435","1,641,134","1,786,974","695,182","1,091,792","2,191,785","731,944","1,459,841","1,567,317","594,866","972,451","1,595,707","592,463","1,003,244","760,252","310,786","449,466","67,654","44,033","23,621","86,362","58,318","28,044","121,524","70,929","50,595","141,772","73,985","67,787","158,664","77,031","81,633","147,777","77,184","70,593","139,916","76,886","63,030","127,159","65,186","61,973","154,246","66,798","87,448","120,921","60,945","59,976","101,655","56,996","44,659","123,583","72,354","51,229","130,634","70,149","60,485","140,287","78,582","61,705","162,940","84,538","78,402","258,469","87,428","171,041","600,982","136,926","464,056","671,662","144,312","527,350","649,352","148,213","501,139","560,271","138,025","422,246","761,360","141,404","619,956","298,217","86,064","212,153","419,837","101,318","318,519","614,160","140,925","473,235","1,001,313","281,132","720,181","1,428,129","428,558","999,571","2,188,742","602,685","1,586,057","2,814,980","747,826","2,067,154","2,515,454","696,090","1,819,364","2,029,087","584,826","1,444,261","1,753,188","568,940","1,184,248","1,266,054","429,265","836,789","1,589,448","431,889","1,157,559"
"United States of America residents entering Canada 4 5","1,146,690","576,053","570,637","1,186,593","543,158","643,435","1,495,019","669,056","825,963","1,437,650","664,228","773,422","2,015,515","820,880","1,194,635","2,982,857","1,070,007","1,912,850","3,522,169","1,281,341","2,240,828","3,402,996","1,234,692","2,168,304","2,319,196","955,530","1,363,666","1,795,847","763,655","1,032,192","1,435,666","665,443","770,223","1,672,242","728,044","944,198","1,140,166","559,426","580,740","1,158,358","517,882","640,476","1,457,330","660,124","797,206","1,589,192","691,862","897,330","2,135,005","860,196","1,274,809","2,998,407","1,101,393","1,897,014","3,615,631","1,273,789","2,341,842","3,552,265","1,225,123","2,327,142","2,295,325","904,723","1,390,602","1,854,059","761,927","1,092,132","1,464,188","680,257","783,931","1,697,726","716,408","981,318","1,201,690","580,959","620,731","1,281,300","581,324","699,976","610,781","302,382","308,399","51,042","41,425","9,617","72,078","55,647","16,431","101,607","69,409","32,198","113,414","72,954","40,460","120,824","75,848","44,976","112,980","76,033","36,947","112,513","75,787","36,726","98,444","64,189","34,255","113,887","65,814","48,073","86,456","60,156","26,300","75,398","56,151","19,247","95,943","71,418","24,525","95,634","69,200","26,434","113,451","77,562","35,889","128,447","83,150","45,297","194,799","85,990","108,809","509,669","135,251","374,418","518,223","142,365","375,858","488,616","146,478","342,138","439,089","135,880","303,209","550,264","138,975","411,289","218,558","83,964","134,594","314,845","99,005","215,840","465,235","137,610","327,625","759,600","273,435","486,165","1,112,682","410,949","701,733","1,724,681","577,225","1,147,456","2,193,729","710,236","1,483,493","1,968,894","659,568","1,309,326","1,560,470","540,658","1,019,812","1,386,424","544,035","842,389","1,034,672","416,628","618,044","1,221,069","419,074","801,995"
"United States of America residents, air 5","289,486","44,665","244,821","296,703","45,253","251,450","367,360","55,879","311,481","354,384","70,916","283,468","442,218","86,805","355,413","669,864","127,611","542,253","707,609","107,189","600,420","655,554","100,342","555,212","512,183","79,248","432,935","435,419","61,049","374,370","351,665","50,108","301,557","389,275","50,779","338,496","281,378","32,223","249,155","298,744","30,105","268,639","366,667","40,115","326,552","403,386","46,418","356,968","470,254","40,465","429,789","685,288","63,108","622,180","735,103","60,623","674,480","666,738","45,624","621,114","534,797","39,180","495,617","442,252","35,874","406,378","340,349","34,231","306,118","412,596","34,804","377,792","283,023","28,669","254,354","294,559","26,232","268,327","138,668","15,171","123,497","2,817","1,160","1,657","3,710","1,142","2,568","8,011","1,584","6,427","11,028","1,853","9,175","14,009","2,024","11,985","12,296","1,895","10,401","12,928","1,767","11,161","14,112","1,547","12,565","20,743","1,675","19,068","11,487","1,790","9,697","6,091","887","5,204","4,450","817","3,633","5,105","1,073","4,032","5,625","1,151","4,474","8,237","1,680","6,557","37,113","2,333","34,780","90,826","4,045","86,781","117,621","4,481","113,140","127,057","4,265","122,792","121,562","3,833","117,729","170,313","3,581","166,732","57,701","2,873","54,828","84,740","2,799","81,941","145,457","3,957","141,500","177,986","5,805","172,181","267,730","7,991","259,739","488,894","18,744","470,150","544,342","16,211","528,131","452,798","12,322","440,476","394,645","11,012","383,633","313,331","9,539","303,792","253,464","8,522","244,942","314,029","8,985","305,044"
"United States of America residents, land 4 6","857,092","531,330","325,762","889,718","497,807","391,911","1,127,271","612,967","514,304","1,070,433","591,386","479,047","1,467,447","717,152","750,295","2,098,785","906,218","1,192,567","2,594,853","1,080,843","1,514,010","2,525,958","1,037,245","1,488,713","1,609,931","807,568","802,363","1,291,330","700,599","590,731","1,083,634","615,109","468,525","1,282,920","677,248","605,672","858,662","527,130","331,532","859,511","487,736","371,775","1,089,374","618,889","470,485","1,178,578","643,684","534,894","1,529,589","790,836","738,753","2,092,327","973,757","1,118,570","2,640,986","1,138,688","1,502,298","2,652,451","1,120,740","1,531,711","1,550,516","819,898","730,618","1,326,872","723,802","603,070","1,123,266","645,599","477,667","1,284,817","681,465","603,352","918,575","552,240","366,335","986,589","555,030","431,559","471,980","287,153","184,827","48,197","40,253","7,944","68,280","54,479","13,801","93,220","67,665","25,555","102,027","70,875","31,152","106,490","73,654","32,836","100,402","74,011","26,391","99,451","73,944","25,507","84,283","62,607","21,676","93,127","64,126","29,001","74,962","58,361","16,601","69,287","55,249","14,038","91,445","70,572","20,873","90,365","68,055","22,310","107,208","76,246","30,962","119,614","81,289","38,325","157,251","83,538","73,713","416,743","131,024","285,719","399,252","137,690","261,562","361,227","142,130","219,097","317,449","132,015","185,434","379,852","135,341","244,511","160,707","81,080","79,627","229,815","96,187","133,628","319,098","133,607","185,491","558,454","256,763","301,691","712,782","309,305","403,477","1,036,239","392,562","643,677","1,396,245","488,990","907,255","1,263,991","455,910","808,081","947,905","381,378","566,527","961,917","483,005","478,912","766,242","406,781","359,461","891,140","409,069","482,071"
"United States of America residents, water 6","112","58","54","172","98","74","388","210","178","12,833","1,926","10,907","105,850","16,923","88,927","214,208","36,178","178,030","219,707","93,309","126,398","221,484","97,105","124,379","197,082","68,714","128,368","69,098","2,007","67,091","367","226","141","47","17","30","126","73","53","103","41","62","1,289","1,120","169","7,228","1,760","5,468","135,162","28,895","106,267","220,792","64,528","156,264","239,542","74,478","165,064","233,076","58,759","174,317","210,012","45,645","164,367","84,935","2,251","82,684","573","427","146","313","139","174","92","50","42","152","62","90","133","58","75","28","12","16","88","26","62","376","160","216","359","226","133","325","170","155","282","127","155","134","76","58","49","35","14","17","13","4","7","5","2","20","15","5","48","29","19","164","72","92","618","165","453","596","181","415","435","119","316","2,100","182","1,918","1,350","194","1,156","332","83","249","78","32","46","99","53","46","150","11","139","290","19","271","680","46","634","23,160","10,867","12,293","132,170","93,653","38,517","199,548","165,919","33,629","253,142","205,035","48,107","252,105","191,336","60,769","217,920","148,268","69,652","111,176","51,491","59,685","14,966","1,325","13,641","15,900","1,020","14,880"
"Residents of countries other than the United States of America entering Canada 4 5","319,435","4,106","315,329","339,668","2,637","337,031","366,484","4,592","361,892","377,816","6,408","371,408","596,192","17,114","579,078","810,589","17,496","793,093","993,208","23,787","969,421","954,770","33,366","921,404","781,814","17,705","764,109","534,244","14,396","519,848","314,647","12,220","302,427","472,977","14,517","458,460","352,048","11,994","340,054","336,122","11,097","325,025","346,235","14,245","331,990","482,279","20,000","462,279","673,939","35,644","638,295","889,076","39,231","849,845","1,097,789","51,332","1,046,457","1,060,162","59,517","1,000,645","849,114","38,226","810,888","568,510","19,508","549,002","322,786","14,925","307,861","494,059","15,536","478,523","365,627","13,907","351,720","314,407","11,139","303,268","149,471","8,404","141,067","16,612","2,608","14,004","14,284","2,671","11,613","19,917","1,520","18,397","28,358","1,031","27,327","37,840","1,183","36,657","34,797","1,151","33,646","27,403","1,099","26,304","28,715","997","27,718","40,359","984","39,375","34,465","789","33,676","26,257","845","25,412","27,640","936","26,704","35,000","949","34,051","26,836","1,020","25,816","34,493","1,388","33,105","63,670","1,438","62,232","91,313","1,675","89,638","153,439","1,947","151,492","160,736","1,735","159,001","121,182","2,145","119,037","211,096","2,429","208,667","79,659","2,100","77,559","104,992","2,313","102,679","148,925","3,315","145,610","241,713","7,697","234,016","315,447","17,609","297,838","464,061","25,460","438,601","621,251","37,590","583,661","546,560","36,522","510,038","468,617","44,168","424,449","366,764","24,905","341,859","231,382","12,637","218,745","368,379","12,815","355,564"
